#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	372421	372672	+	EEBJGP_00397	9.1	9.0		SO:0001217, UniRef:UniRef50_Q9A171
contig_1	372767	373432	-	EEBJGP_00398	25.8	5.3		SO:0001217, UniRef:UniRef50_A0A5S4TH69
contig_1	381034	381588	+	EEBJGP_00405	20.7	4.9	PF00293.34|NUDIX	PFAM:PF00293.34
contig_1	382705	383046	+	EEBJGP_00408	13.3	9.4		SO:0001217, UniRef:UniRef50_Q9A159
contig_1	395529	396704	+	EEBJGP_00424	41.1	4.6	PF01476.26|LysM	PFAM:PF01476.26
contig_1	403487	403741	-	EEBJGP_00432	10.2	7.0		SO:0001217, UniRef:UniRef50_Q9A140
contig_1	404136	404270	+	EEBJGP_00433	4.7	5.4		
contig_1	404891	405040	-	EEBJGP_00435	5.8	8.1		
contig_1	405777	406004	+	EEBJGP_00438	7.6	8.7		
contig_1	406753	406857	+	EEBJGP_00441	3.8	9.9		
contig_1	407111	408178	+	EEBJGP_00442	38.7	5.9		
contig_1	415993	416229	+	EEBJGP_00450	8.7	9.5		
contig_1	457844	458134	-	EEBJGP_00487	10.7	4.5		
contig_1	458131	459501	-	EEBJGP_00488	52.5	5.8		
contig_1	459722	460279	-	EEBJGP_00490	21.3	8.8	PF20277.3|CTD11	PFAM:PF20277.3
contig_1	461866	462318	+	EEBJGP_00495	17.4	8.7		
contig_1	464347	464811	+	EEBJGP_00499	17.6	7.7		
contig_1	464933	465133	+	EEBJGP_00500	7.6	6.0	PF13535.11|ATP-grasp_4	PFAM:PF13535.11
contig_1	466437	466637	+	EEBJGP_00502	8.0	6.0		
contig_1	466757	467242	+	EEBJGP_00503	19.2	8.7		SO:0001217, UniRef:UniRef50_A0A5S4TH85
contig_1	467239	467655	+	EEBJGP_00504	16.1	8.9		
contig_1	471083	472633	+	EEBJGP_00508	56.8	4.7	PF00448.28|SRP54, PF02881.24|SRP54_N	PFAM:PF00448.28, PFAM:PF02881.24
contig_1	479446	480348	-	EEBJGP_00515	33.0	8.2		
contig_1	480496	480651	-	EEBJGP_00516	5.6	8.0		
contig_1	485872	486279	+	EEBJGP_00521	14.3	8.0		
contig_1	527274	527573	+	EEBJGP_00561	11.2	5.3		
contig_1	527634	528449	+	EEBJGP_00562	30.3	5.4	PF13484.11|Fer4_16	PFAM:PF13484.11
contig_1	549625	549909	+	EEBJGP_00581	11.0	5.9	PF01817.26|CM_2	PFAM:PF01817.26
contig_1	554624	554842	+	EEBJGP_00589	8.3	6.6	PF01381.28|HTH_3	PFAM:PF01381.28
contig_1	555156	555266	+	EEBJGP_00591	4.4	9.9		
contig_1	555529	555771	+	EEBJGP_00593	8.8	4.5		SO:0001217, UniRef:UniRef50_A0A0P6SKU0
contig_1	558210	558344	+	EEBJGP_00596	4.9	4.6		
contig_1	560555	560749	+	EEBJGP_00599	7.2	4.6		
contig_1	563307	563489	+	EEBJGP_00601	7.1	4.1		
contig_1	564101	564286	+	EEBJGP_00604	7.4	6.7		
contig_1	564283	564534	+	EEBJGP_00605	9.8	5.8		
contig_1	566547	566918	+	EEBJGP_00610	14.1	9.4		
contig_1	573823	575301	+	EEBJGP_00618	55.3	9.3		
contig_1	590465	591097	+	EEBJGP_00637	23.3	4.8		
contig_1	594383	594499	+	EEBJGP_00644	3.9	8.7		
contig_1	602599	603057	-	EEBJGP_00650	17.3	8.7		
contig_1	621804	624536	+	EEBJGP_00663	100.0	6.5	PF03372.29|Exo_endo_phos	PFAM:PF03372.29
contig_1	629861	630355	+	EEBJGP_00669	17.8	4.7	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_1	644994	645911	-	EEBJGP_00685	33.3	6.7		
contig_1	669954	670457	+	EEBJGP_00704	19.1	8.8		
contig_1	670496	671239	+	EEBJGP_00705	28.2	9.5		
contig_1	704486	705706	+	EEBJGP_00738	44.1	5.1	PF02687.27|FtsX, PF12704.14|MacB_PCD	PFAM:PF02687.27, PFAM:PF12704.14
contig_1	708102	708341	+	EEBJGP_00741	8.9	5.7	PF00013.35|KH_1, PF13083.13|KH_KhpA-B	PFAM:PF00013.35, PFAM:PF13083.13
contig_1	724578	724697	-	EEBJGP_00756	4.7	4.9		
contig_1	725892	726191	-	EEBJGP_00758	11.4	9.5	PF02876.24|Stap_Strp_tox_C	PFAM:PF02876.24
contig_1	726234	726572	-	EEBJGP_00759	12.9	5.2	PF01123.25|Stap_Strp_toxin	PFAM:PF01123.25
contig_1	747620	747790	+	EEBJGP_00779	6.3	9.4		
contig_1	777271	777573	-	EEBJGP_00809	12.0	5.5		
contig_1	780754	780930	-	EEBJGP_00813	6.3	10.3		
contig_1	812604	812888	-	EEBJGP_00843	10.5	5.5		SO:0001217, UniRef:UniRef50_Q1JM13
contig_1	855251	855610	+	EEBJGP_00882	13.4	5.0	PF02152.23|FolB	PFAM:PF02152.23
contig_1	889668	889853	-	EEBJGP_00917	7.1	5.7	PF01361.26|Tautomerase	PFAM:PF01361.26
contig_1	892497	893087	+	EEBJGP_00921	21.6	5.7		
contig_1	907026	907145	+	EEBJGP_00933	4.6	10.8		
contig_1	907153	907521	+	EEBJGP_00934	13.2	4.9		
contig_1	914747	915229	-	EEBJGP_00942	18.4	7.0		
contig_1	922109	922459	+	EEBJGP_00950	12.3	4.8	PF00364.28|Biotin_lipoyl, PF13533.12|Biotin_lipoyl_2, PF16576.10|HlyD_D23	PFAM:PF00364.28, PFAM:PF13533.12, PFAM:PF16576.10
contig_1	925530	926933	-	EEBJGP_00954	50.3	8.2		
contig_1	941697	943130	-	EEBJGP_00971	54.3	9.5		SO:0001217, UniRef:UniRef50_Q99ZJ8
contig_1	951398	951754	-	EEBJGP_00978	14.0	6.5	PF03477.21|ATP-cone	PFAM:PF03477.21
contig_1	973565	973798	+	EEBJGP_01000	8.3	10.3		
contig_1	988907	990247	-	EEBJGP_01016	51.6	5.4		
contig_1	997457	997657	-	EEBJGP_01024	7.0	9.2	PF05532.17|CsbD	PFAM:PF05532.17
contig_1	1024922	1025533	-	EEBJGP_01053	22.5	4.7		
contig_1	1031735	1035658	-	EEBJGP_01059	139.9	9.0		
contig_1	1046011	1046181	-	EEBJGP_01075	6.9	9.2		
contig_1	1047178	1047366	-	EEBJGP_01079	7.3	6.2		
contig_1	1047988	1048158	-	EEBJGP_01082	6.6	5.7		
contig_1	1048565	1048849	-	EEBJGP_01084	11.0	5.4		
contig_1	1049091	1049447	-	EEBJGP_01086	14.3	9.3		
contig_1	1052358	1052495	-	EEBJGP_01093	5.3	5.2		
contig_1	1053255	1054058	-	EEBJGP_01095	31.3	5.0		
contig_1	1055043	1055315	-	EEBJGP_01098	10.3	7.8		SO:0001217, UniRef:UniRef50_A0A4D6AHU2
contig_1	1055798	1055932	-	EEBJGP_01100	5.3	10.4		
contig_1	1056361	1056504	+	EEBJGP_01102	5.7	8.1		
contig_1	1058450	1058551	-	EEBJGP_01110	4.2	9.9		
contig_1	1088104	1088247	-	EEBJGP_01137	5.6	9.9		
contig_1	1102079	1102237	-	EEBJGP_01150	6.1	6.2		
contig_1	1115825	1117300	-	EEBJGP_01165	55.6	6.2	PF00005.33|ABC_tran, PF02463.25|SMC_N, PF13304.12|AAA_21, PF13476.12|AAA_23	PFAM:PF00005.33, PFAM:PF02463.25, PFAM:PF13304.12, PFAM:PF13476.12
contig_1	1134307	1135332	-	EEBJGP_01181	38.9	5.6	PF13481.12|AAA_25	PFAM:PF13481.12
contig_1	1135572	1136093	+	EEBJGP_01182	20.0	10.4		SO:0001217, UniRef:UniRef50_A7VZ29
contig_1	1151252	1152796	-	EEBJGP_01190	58.0	4.9		
contig_1	1152771	1153010	-	EEBJGP_01191	9.5	7.8		
contig_1	1163391	1163702	-	EEBJGP_01199	11.9	9.6		
contig_1	1163951	1164322	-	EEBJGP_01200	14.1	4.4		
contig_1	1168817	1169338	-	EEBJGP_01205	20.1	5.7	PF01420.25|Methylase_S	PFAM:PF01420.25
contig_1	1169319	1170044	-	EEBJGP_01206	28.6	8.6		
contig_1	1170517	1170810	-	EEBJGP_01207	11.2	8.0		
contig_1	1178040	1178204	-	EEBJGP_01216	6.5	9.3		
contig_1	1188307	1189758	-	EEBJGP_01228	54.8	6.6		
contig_1	1196071	1196424	-	EEBJGP_01235	13.2	4.5		
contig_1	1196749	1196967	-	EEBJGP_01236	8.3	6.9		
contig_1	1196980	1197168	-	EEBJGP_01237	6.9	4.6		
contig_1	1197360	1197590	-	EEBJGP_01238	8.2	5.5		
contig_1	1197591	1197803	-	EEBJGP_01239	7.9	4.6		
contig_1	1213856	1216234	-	EEBJGP_01252	87.5	5.8	PF12799.13|LRR_4, PF13855.12|LRR_8	PFAM:PF12799.13, PFAM:PF13855.12
contig_1	1234304	1234474	+	EEBJGP_01269	6.4	9.2	PF00665.32|rve	PFAM:PF00665.32
contig_1	1234514	1234735	+	EEBJGP_01270	8.6	8.0	PF13683.12|rve_3	PFAM:PF13683.12
contig_1	1236556	1236690	-	EEBJGP_01274	5.1	6.5		
contig_1	1250460	1250882	-	EEBJGP_01285	16.1	6.0		
contig_1	1250900	1251037	-	EEBJGP_01286	5.4	4.3		
contig_1	1251034	1251282	-	EEBJGP_01287	9.1	4.7	PF13354.11|Beta-lactamase2	PFAM:PF13354.11
contig_1	1251267	1251494	-	EEBJGP_01288	8.7	10.8		
contig_1	1272398	1273333	+	EEBJGP_01307	34.3	6.3	PF01180.27|DHO_dh	PFAM:PF01180.27
contig_1	1278679	1279635	-	EEBJGP_01314	35.3	4.5		SO:0001217, UniRef:UniRef50_Q99YX9
contig_1	1315148	1315768	-	EEBJGP_01349	24.6	9.8		
contig_1	1316063	1316182	-	EEBJGP_01350	4.8	9.4		
contig_1	1329611	1330144	-	EEBJGP_01364	19.8	5.3	PF03483.22|B3_4	PFAM:PF03483.22
contig_1	1330223	1330327	-	EEBJGP_01365	3.8	4.2		
contig_1	1339324	1340571	-	EEBJGP_01374	48.4	8.0		
contig_1	1345519	1346058	-	EEBJGP_01380	20.9	9.2		
contig_1	1346375	1346647	-	EEBJGP_01381	10.7	9.3		
contig_1	1347267	1347608	-	EEBJGP_01383	13.1	9.5		
contig_1	1356363	1356632	-	EEBJGP_01392	9.7	9.5		
contig_1	1358089	1358340	-	EEBJGP_01395	9.4	4.1		
contig_1	1358370	1358570	-	EEBJGP_01396	7.5	4.3		
contig_1	1359090	1359233	-	EEBJGP_01398	5.6	10.1	PF01381.28|HTH_3, PF12844.13|HTH_19, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13560.12
contig_1	1370530	1370922	-	EEBJGP_01406	15.4	5.9		
contig_1	1371471	1371620	-	EEBJGP_01408	5.9	9.4		
contig_1	1373866	1374066	-	EEBJGP_01412	7.5	8.8		
contig_1	1374404	1374523	-	EEBJGP_01413	4.3	5.0		
contig_1	1374949	1375053	-	EEBJGP_01415	3.7	7.7		
contig_1	1419267	1419527	-	EEBJGP_01455	9.7	9.7		
contig_1	1419537	1419932	-	EEBJGP_01456	15.0	9.0		
contig_1	1444047	1445516	-	EEBJGP_01480	52.9	5.2	PF18041.6|MapZ_EC1, PF18708.6|MapZ_C2	PFAM:PF18041.6, PFAM:PF18708.6
contig_1	1466106	1466270	-	EEBJGP_01500	6.2	4.6		
contig_1	1481906	1482250	-	EEBJGP_01514	12.6	4.4	PF03413.25|PepSY	PFAM:PF03413.25
contig_1	1495310	1495399	-	EEBJGP_01528	3.5	9.8		
contig_1	1496547	1496810	-	EEBJGP_01530	9.5	5.2		
contig_1	1509552	1509848	-	EEBJGP_01544	11.3	9.8		
contig_1	1515482	1516102	-	EEBJGP_01553	22.8	4.7		
contig_1	1522726	1527108	-	EEBJGP_01560	149.6	9.6		
contig_1	1528551	1528910	-	EEBJGP_01564	13.3	6.2		
contig_1	1531806	1531922	-	EEBJGP_01571	4.0	9.7		
contig_1	1537381	1537539	-	EEBJGP_01578	5.8	4.6		
contig_1	1545577	1545975	-	EEBJGP_01587	15.0	8.8		
contig_1	1545979	1547133	-	EEBJGP_01588	43.5	4.8	PF12705.13|PDDEXK_1	PFAM:PF12705.13
contig_1	1547133	1547432	-	EEBJGP_01589	11.1	5.0		
contig_1	1548616	1548891	-	EEBJGP_01595	10.9	8.0		
contig_1	1577324	1578067	-	EEBJGP_01634	27.1	8.3	PF00378.25|ECH_1, PF16113.10|ECH_2	PFAM:PF00378.25, PFAM:PF16113.10
contig_1	1697409	1697984	-	EEBJGP_01742	22.2	4.1		
contig_1	1721267	1721497	-	EEBJGP_01764	8.6	7.9		
contig_1	1736412	1736618	-	EEBJGP_01781	7.5	6.1	PF01381.28|HTH_3, PF07022.19|Phage_CI_repr, PF13443.12|HTH_26, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF07022.19, PFAM:PF13443.12, PFAM:PF13560.12
contig_1	1752213	1752368	-	EEBJGP_01799	5.5	9.5		SO:0001217, UniRef:UniRef50_Q99XY9
contig_1	1790873	1791379	+	EEBJGP_01830	19.9	9.1		
contig_1	1792745	1792879	-	EEBJGP_01832	5.2	10.0		
contig_1	1821900	1822196	-	EEBJGP_01856	11.5	4.3		
contig_1	1831612	1831782	-	EEBJGP_01863	6.2	8.9		SO:0001217, UniRef:UniRef50_UPI000971D18F
contig_1	1887091	1887330	-	EEBJGP_01910	8.8	4.7	PF01638.23|HxlR	PFAM:PF01638.23
contig_1	1891515	1891661	-	EEBJGP_01916	5.9	10.0		
contig_1	1895917	1896027	-	EEBJGP_01919	4.6	10.1		
contig_1	1896111	1896416	-	EEBJGP_01920	11.5	4.1		
contig_1	1922069	1922545	+	EEBJGP_01946	18.9	5.7		
contig_1	1935674	1935946	-	EEBJGP_01961	10.4	5.0		
contig_1	1946378	1946992	-	EEBJGP_01971	21.6	6.1	PF01464.25|SLT	PFAM:PF01464.25
contig_1	1954421	1954885	+	EEBJGP_01979	17.5	5.6	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
contig_1	1954978	1955679	+	EEBJGP_01980	26.9	9.8		
