accession,organism,covR_present,covS_present,covR_gene_names,covS_gene_names,covR_annotation,covS_annotation
GCF_004785935.1,Streptococcus rubneri,no,no,,,,
GCF_006385165.1,Streptococcus symci,no,no,,,,
GCF_006385785.1,Streptococcus shenyangsis,no,no,,,,
GCF_006385805.1,Streptococcus xiaochunlingii,no,no,,,,
GCF_007859195.1,Streptococcus cuniculipharyngis,no,no,,,,
GCF_008803015.1,Streptococcus ratti,no,no,,,,
GCF_011387195.1,Streptococcus ruminicola,no,no,,,,
GCF_011421425.1,Streptococcus catagoni,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_012396585.1,Streptococcus ovuberis,no,no,,,,
GCF_013267695.1,Streptococcus gallolyticus,no,no,,,,
GCF_014287335.1,Streptococcus hominis,no,no,,,,
GCF_015689395.1,Streptococcus equi subsp. zooepidemicus,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_016127275.1,Streptococcus infantarius,no,no,,,,
GCF_016128095.1,Streptococcus dysgalactiae,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_016461705.1,Streptococcus vicugnae,no,no,,,,
GCF_016481285.1,Streptococcus zalophi,no,no,,,,
GCF_016481305.1,Streptococcus pacificus,no,no,,,,
GCF_016725005.1,Streptococcus constellatus,no,no,,,,
GCF_016908645.1,Streptococcus loxodontisalivarius,no,no,,,,
GCF_016908655.1,Streptococcus saliviloxodontae,no,no,,,,
GCF_017315345.1,Streptococcus vaginalis,no,no,,,,
GCF_017639855.1,Streptococcus zhangguiae,no,no,,,,
GCF_017883985.1,Streptococcus oricebi,no,no,,,,
GCF_017884005.1,Streptococcus panodentis,no,no,,,,
GCF_018127725.1,Streptococcus lactarius,no,no,,,,
GCF_018137985.1,Streptococcus oriscaviae,no,no,,,,
GCF_019046945.1,Streptococcus gordonii,no,no,,,,
GCF_019048645.1,Streptococcus mutans,no,no,,,,
GCF_019218685.1,Streptococcus vulneris,no,no,,,,
GCF_019448275.1,Streptococcus humanilactis,no,no,,,,
GCF_019774635.1,Streptococcus halichoeri,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_020089495.2,Streptococcus hohhotensis,no,no,,,,
GCF_021654455.1,Streptococcus parasuis,no,no,,,,
GCF_024346585.1,Streptococcus toyakuensis,no,no,,,,
GCF_024814375.1,Streptococcus sciuri,no,no,,,,
GCF_025447695.1,Streptococcus danieliae,no,no,,,,
GCF_029589235.1,Streptococcus taoyuanensis,no,no,,,,
GCF_029866925.1,Streptococcus macedonicus,no,no,,,,
GCF_029948085.1,Streptococcus taonis,no,no,,,,
GCF_030284685.1,Streptococcus raffinosi,no,no,,,,
GCF_032594915.1,Streptococcus suivaginalis,no,no,,,,
GCF_032595075.1,Streptococcus iners,no,no,,,,
GCF_034134805.1,Streptococcus lingualis,no,no,,,,
GCF_034137685.1,Streptococcus dentalis,no,no,,,,
GCF_035544715.1,Streptococcus gingivalis,no,no,,,,
GCF_037076355.1,Streptococcus parapneumoniae,no,no,,,,
GCF_040225085.1,Streptococcus jiangjianxini,no,no,,,,
GCF_040545225.1,Streptococcus rupicaprae,no,no,,,,
GCF_040545695.1,Streptococcus gallinaceus,no,no,,,,
GCF_040888245.1,Streptococcus wuxiensis,no,no,,,,
GCF_040888305.1,Streptococcus fermentans,no,no,,,,
GCF_040888325.1,Streptococcus jiangnanensis,no,no,,,,
GCF_040930515.1,Streptococcus huangxiaojuni,no,no,,,,
GCF_040984445.1,Streptococcus handemini,no,no,,,,
GCF_041081565.1,Streptococcus hillyeri,no,no,,,,
GCF_042140045.1,Streptococcus nidrosiense,no,no,,,,
GCF_042649745.1,Streptococcus caprae,no,no,,,,
GCF_042649785.1,Streptococcus alactolyticus,no,no,,,,
GCF_042649885.1,Streptococcus dentapri,no,no,,,,
GCF_042656225.1,Streptococcus caledonicus,no,no,,,,
GCF_043656315.1,Streptococcus hepaticus,no,no,,,,
GCF_044503215.1,Streptococcus tangpeifui,no,no,,,,
GCF_049166725.1,Streptococcus atopicus,no,no,,,,
GCF_049393805.1,Streptococcus equinus,no,no,,,,
GCF_050314295.1,Streptococcus hyointestinalis,no,no,,,,
GCF_053203225.1,Streptococcus troglodytae,no,no,,,,
GCF_053203525.1,Streptococcus rifensis,no,no,,,,
GCF_053203725.1,Streptococcus porcorum,no,no,,,,
GCF_053204055.1,Streptococcus penaeicida,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_053204245.1,Streptococcus orisasini,no,no,,,,
GCF_053204445.1,Streptococcus moroccensis,no,no,,,,
GCF_053206145.1,Streptococcus hongkongensis,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_053206505.1,Streptococcus fryi,no,no,,,,
GCF_053206925.1,Streptococcus dentiloxodontae,no,no,,,,
GCF_053206945.1,Streptococcus dentasini,no,no,,,,
GCF_053207205.1,Streptococcus caviae,no,no,,,,
GCF_053207365.1,Streptococcus cameli,no,no,,,,
GCF_054785155.1,Streptococcus parasalivarius,no,no,,,,
GCF_055380925.1,Streptococcus pasteurianus,no,no,,,,
GCF_900095845.1,Streptococcus timonensis,no,no,,,,
GCF_900187085.1,Streptococcus merionis,no,no,,,,
GCF_900459045.1,Streptococcus acidominimus,no,no,,,,
GCF_900459175.1,Streptococcus downei MFe28,no,no,,,,
GCF_900459215.1,Streptococcus criceti,no,no,,,,
GCF_900459365.1,Streptococcus massiliensis,no,no,,,,
GCF_900459485.1,Streptococcus macacae NCTC 11558,no,no,,,,
GCF_900475025.1,Streptococcus ferus,no,no,,,,
GCF_900475035.1,Streptococcus pyogenes,yes,yes,covR,covS,two-component system response regulator CovR/CsrR,two-component system sensor histidine kinase CovS/CsrS
GCF_900475415.1,Streptococcus porcinus,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_900475445.1,Streptococcus cristatus ATCC 51100,no,no,,,,
GCF_900475505.1,Streptococcus sanguinis,no,no,,,,
GCF_900475595.1,Streptococcus uberis,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_900475675.1,Streptococcus lutetiensis,no,no,,,,
GCF_900475975.1,Streptococcus intermedius,no,no,,,,
GCF_900476055.1,Streptococcus australis,no,no,,,,
GCF_900636445.1,Streptococcus vestibularis,no,no,,,,
GCF_900636475.1,Streptococcus anginosus,no,no,,,,
GCF_900636575.1,Streptococcus canis,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_900636885.1,Streptococcus urinalis,no,no,,,,
GCF_900637025.1,Streptococcus oralis ATCC 35037,no,no,,,,
GCF_900637075.1,Streptococcus pseudoporcinus,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_903645285.1,Streptococcus thalassemiae,no,no,,,,
GCF_903886475.1,Streptococcus thermophilus,no,no,,,,
GCF_943193075.1,Streptococcus caecimuris,no,no,,,,
GCF_948472335.1,Streptococcus bouchesdurhonensis,no,no,,,,
