Headlines,Time,Description
U.S. companies adapt to 'endless' China tariffs,Mar 01 2019,"U.S. manufacturers are accelerating their shift out of China, coming to terms with a new reality: the Trump administration's tariffs will not go away any time soon."
Carrefour takes on French rivals in e-commerce with Google tie-up,Jun 11 2018,"France's largest food retailer Carrefour  is teaming up with Google  to boost its online shopping business on its home turf, where rivals are also launching e-commerce offensives."
U.S. stock futures fall after Saudi oil attacks,Sep 15 2019,"U.S. stock futures fell 0.3% percent when trading resumed on Sunday, a day after attacks on Saudi oil facilities that risk disrupting global energy supplies."
Investors query funding costs at a private Tesla,Aug 17 2018,Several Tesla Inc  shareholders have told Reuters they are concerned that the electric car maker will have to pay more to fund its growth if it becomes a private company and loses the ability to sell new shares to stock market investors.
Oil crash pummels stocks and bond yields; dollar rises,Apr 21 2020,"Stock markets around the world fell on Tuesday, as a collapse in oil prices brought on by oversupply and a shortage of storage further exposed the depth of economic damage from the coronavirus outbreak and sent investors looking for shelter."
"Thyssenkrupp to refine strategy only after new CEO is named, board tells workers",Jul 06 2018,"Thyssenkrupp  will embark upon a planned refinement of its strategy only after a new chief executive is named, the company's management board wrote to employees on Friday."
Barkindo confident OPEC+ can achieve oil market stability,Jul 01 2019,"OPEC Secretary-General Mohammad Barkindo said on Monday he is confident that OPEC+ members will succeed in balancing oil production to guarantee market stability, Kuwait state news agency (KUNA) quoted him as saying."
Judge asks Samsung heir to be humble at bribery trial,Oct 25 2019,"A South Korean judge overseeing Samsung Group heir Jay Y. Lee's bribery trial told him on Friday to ""humbly accept"" whatever the outcome of the trial, which could result in a tougher sentence for the conglomerate's de-facto leader."
Britain's Tesco pledges to end all-white board,Jun 15 2018,"The chairman of Tesco , Britain's biggest retailer, on Friday pledged to end the all-white make-up of its board of directors."
Stella McCartney to buy brand in full from Kering,Mar 28 2018,"Kering and fashion label Stella McCartney said on Wednesday they had agreed to end their 17 year partnership, as the British designer behind the brand buys the 50 percent owned by the French luxury goods group."
"China, U.S. agree to hold more trade talks: Vice Premier Liu He",May 10 2019,"China and the United States have agreed to hold more trade talks in Beijing, Vice Premier Liu He told Chinese state media in the United States on Friday, following a round of discussions in Washington which he described as ""honest"" and ""constructive""."
Outgoing Credit Suisse manager Khan mulling offers: source,Jul 02 2019,"Credit Suisse's  outgoing head of International Wealth Management Iqbal Khan is mulling several concrete offers from Swiss and international banks, a source familiar with Khan's thinking told Reuters on Tuesday."
Coke eyes cannabis-infused drink market,Sep 18 2018,Coca-Cola Co  is closely watching the fast-growing marijuana drinks market for a possible entry that would expand the world's largest soft drink maker's ambitions further away from sugary sodas.
Judge grants Amazon motion for pause in Microsoft's Pentagon contract work,Feb 13 2020,A U.S. judge on Thursday granted Amazon.com Inc's request to temporarily halt the U.S. Department of Defense and Microsoft Corp from moving forward on an up-to-$10 billion cloud computing deal that Amazon says reflected undue influence by President Donald Trump.
"Exclusive: Denmark's Nord Stream 2 route request could cause eight-month delay, cost 660 million euros - operator",Aug 08 2019,"A Russian-led gas pipeline project across the Baltic Sea to Europe could be delayed by up to eight months and cost an extra 660 million euros ($740 million) due to hurdles in securing the necessary permits from Denmark, the pipeline operator has said."
Renault ready to be part of a European batteries project: chairman,Sep 25 2019,"Renault  is ready to be part of a European batteries project provided it makes economic sense to do so, the French carmaker's chairman said on Wednesday."
Big Four told to ring fence auditing in Britain by June 2024,Jul 06 2020,"PwC, Deloitte, KPMG and EY should ring fence auditing in Britain as a separate business by June 2024, their regulator said on Monday in one of the most sweeping changes to the sector globally to improve audit quality."
"U.S. to pay farmers up to $16 billion for trade war losses, South to benefit",Jul 25 2019,"The U.S. government will pay American farmers hurt by the trade war with China between $15 and $150 per acre in an aid package totaling $16 billion, officials said on Thursday, with farmers in the South poised to see higher rates than in the Midwest."
Few tears shed by French workers after Macron's Alstom dream is blocked,Feb 12 2019,"After four decades on the production line at French trainmaker Alstom, Claude Gemino had little sympathy for Emmanuel Macron when Brussels scotched the French president's hopes of creating a European rail champion."
Wall St. to open sharply lower as virus fears shut down California (March 5),Mar 06 2020,"(This March 5 story corrects Reuters instrument code for 10-year U.S. Treasury in paragraph 14 to ""US10YT=RR"", from ""US10YR=RR"")"
South Korea's latest big export: Jobless college graduates,May 12 2019,"Cho Min-kyong boasts an engineering degree from one of South Korea's top universities, a school design award and a near-perfect score in her English proficiency test."
Zuckerberg's snub of UK parliament 'astonishing' says lawmaker,Mar 27 2018,"Facebook CEO Mark Zuckerberg's decision not to answer questions from British lawmakers about a scandal over the firm's data is ""astonishing"", the parliamentary committee chief who invited him to attend said on Tuesday."
Trump says trade talks with Canada going well,Sep 11 2018,U.S. President Donald Trump said on Tuesday that trade talks with Canada were going well and that Ottawa very much wanted to make a deal.
"Graphic: U.S. banks enjoy benefits of a growing economy, lower taxes",Oct 12 2018,"The U.S. banking industry is enjoying the benefits of a growing economy and lower taxes, if the double-digit profit growth posted by three major lenders on Friday is any indication."
Volkswagen set to hire four banks for truck unit IPO: sources,Oct 08 2018,"Volkswagen  is close to hiring Citigroup , Deutsche Bank , Goldman Sachs  and JP Morgan  to help with the potential stock market listing of its truck unit Traton, two people familiar with the matter told Reuters on Monday."
Facebook faces small but symbolic UK fine over data protection breaches,Jul 11 2018,Britain's information regulator slapped Facebook with a small but symbolic fine for breaches of data protection law after millions of users' data was improperly accessed by consultancy Cambridge Analytica.
Murdoch seeks permission to merge UK's Times and Sunday Times,Jan 18 2019,"Rupert Murdoch's London-based newspapers The Times and Sunday Times have asked the British government for permission to share resources across both titles, a move that is barred under rules imposed when the media mogul bought both newspapers in 1981."
"U.S. aims to restart China trade talks, will not accept conditions on tariff use",Jun 26 2019,"The United States hopes to re-launch trade talks with China after President Donald Trump and President Xi Jinping meet in Japan on Saturday, but Washington will not accept any conditions around the U.S. use of tariffs in the dispute, a senior administration official said on Tuesday."
"Airbnb's Belinda Johnson to step down as COO, join board",Nov 22 2019,Airbnb said on Friday Belinda Johnson will step down as chief operating officer in March and join the home rental company's board.
Aston Martin posts deep quarterly loss as pandemic slams brakes on sales,May 13 2020,"Aston Martin  posted a deep first-quarter loss after sales dropped by nearly a third due to the impact of the coronavirus crisis, though the luxury car maker said production of a crucial sport utility vehicle was on track."
Germany's Osram urges investors to accept $4.8 billion AMS offer,Sep 16 2019,"Osram  advised shareholders to accept a 4.3 billion euro ($4.8 billion) bid from AMS  on Monday, bringing the Austrian sensor specialist a step closer to taking over the bigger German lighting group."
Vaccine makers face biggest medical manufacturing challenge in history,Jun 25 2020,Developing a COVID-19 vaccine in record time will be tough. Producing enough to end the pandemic will be the biggest medical manufacturing feat in history.
Dish founder Ergen says he asked for senator's help on T-Mobile/Sprint,Dec 18 2019,Dish Network Corp Chairman Charlie Ergen testified on Wednesday that the Justice Department's antitrust chief advised him on June 10 to ask a senator to speak to the Federal Communications Commission about approving a key piece of the merger of wireless carriers T-Mobile and Sprint.
Easier for China to face tariffs than bend to U.S. pressure,Mar 04 2019,"China will acknowledge concessions made in any trade deal with the United States for the sake of stabilizing shaky relations, but is unlikely to yield to demands it alter its economic model even if faced with continued tariffs, many trade experts believe."
"Exclusive: Facing crackdown in Canada, drugmakers offered billions in price cuts",Feb 06 2019,"Canadian pharmaceutical industry lobby groups, in an effort to head off a planned crackdown on prescription drug prices, offered to give up C$8.6 billion ($6.6 billion) in revenue over 10 years, freeze prices or reduce the cost of treating rare diseases, according to interviews and documents seen by Reuters."
"Italian PM welcomes Fiat Chrysler merger with PSA, says jobs crucial",Dec 19 2019,"Italian Prime Minister Giuseppe Conte welcomed the planned merger of Fiat Chrysler with its French rival PSA in an newspaper interview on Thursday, but said protecting jobs would be a top priority."
"Electric pickup, batteries included in GM's $7 billion pledge",Sep 16 2019,An all-electric pickup truck and an advanced battery system will be part of the $7 billion that General Motors Co has pledged to invest in the United States as parts of contract talks with the United Auto Workers.
Graphic: America's economy and wages are cooling but not its female workforce,Jul 05 2019,"Data released on Friday showed a return to strong job growth in the United States, allaying some fears the U.S. economy is on a short path to recession. But the data also reinforced the view that economic growth is slowing."
Freenet still rejects Sunrise deal despite Liberty Global offer,Oct 14 2019,"Freenet  still opposes Sunrise's  6.3 billion Swiss franc ($6.32 billion) deal to buy Liberty Global's  Swiss business, despite a new offer from the American seller to take part in the acquisition."
Thyssenkrupp to propose Merz as chairwoman as year of turmoil ends,Dec 19 2018,"Thyssenkrupp  will propose as chairwoman Martina Merz, whose background includes roles at Volvo , Bosch [ROBG.UL] and Lufthansa , the German company said, as it prepares to spin off its capital goods units."
"U.S., Canada and Mexico sign agreement - again - to replace NAFTA",Dec 11 2019,"Top officials from Canada, Mexico and the United States signed a fresh overhaul of a quarter-century-old trade pact on Tuesday that aims to improve enforcement of worker rights and hold down prices for biologic drugs by eliminating a patent provision."
Germany's beleaguered Wirecard to proceed with business after insolvency,Jun 27 2020,"Wirecard, the German scandal-hit payments company,  said on Saturday it would proceed with business activities after filing for insolvency and expects a provisional administrator to be appointed by judicial authorities shortly."
Eve-of-Davos survey shows people place trust in companies over governments,Jan 21 2019,"People around the world place much more trust in their companies than their political leaders, according to a major survey that suggests a mood of uncertainty and pessimism on the eve of the World Economic Forum in Davos."
"Trump says he had to 'take China on,' regardless of short-term impact on U.S. economy",Aug 21 2019,U.S. President Donald Trump said on Tuesday he had to confront China over trade even if it caused short-term harm to the U.S. economy because Beijing had been cheating Washington for decades.
Germany bans Wirecard 'shorting' as prosecutors probe FT journalist,Feb 18 2019,"Germany's financial watchdog has banned ""short"" selling of Wirecard shares due to volatility in the payments firm's stock following reports in the Financial Times which are now the subject of an investigation by German authorities."
U.S. House passes $500 billion coronavirus bill in latest relief package,Apr 23 2020,"The U.S. House of Representatives overwhelmingly approved a $484 billion coronavirus relief bill on Thursday, funding small businesses and hospitals and pushing the total spending response to the crisis to an unprecedented near $3 trillion."
Brazil appeals judge lifts temporary arrest of former billionaire Eike Batista,Aug 10 2019,"A Brazilian appeals court judge ordered on Saturday the release of Eike Batista, the mining and oil magnate who was once Brazil's richest man, revoking a temporary prison order that would expire on Monday."
U.S. labor board judge rejects McDonald's bid to settle franchisees' case,Jul 17 2018,A judge with a U.S. labor agency on Tuesday rejected McDonald's Corp's  proposed settlement of a major case on whether the fast-food company is accountable for alleged labor law violations by franchisees across the country.
China's Xiaomi raises $4.72 billion after pricing HK IPO at bottom of range: sources,Jun 29 2018,"HONG KONG (Reuters/IFR) - China's Xiaomi Corp  priced its Hong Kong initial public offering (IPO) at the bottom of an indicative range, raising $4.72 billion in the world's biggest tech float in four years, people close to the transaction said on Friday."
Britain's Sainsbury's warns of $623 million coronavirus hit to profit,Apr 30 2020,British supermarket group Sainsbury's  warned the impact of the coronavirus pandemic on current year profit could be over 500 million pounds ($623 million) and said decisions on paying dividends to shareholders would be deferred.
Exclusive: Saudi Arabia's PIF eyes stake in U.S. movie studio Legendary - sources,Nov 14 2018,"Saudi Arabia's sovereign wealth fund PIF is exploring the acquisition of up to a $700 million stake in Legendary Entertainment, the U.S. movie studio behind films such as ""Jurassic World"" and ""Interstellar"", according to people familiar with the matter."
"A California cafe reopens with a payroll loan, but the future unclear",May 18 2020,"Chris and Amy Hillyard opened their Oakland, California restaurant late last month for the first time since mid-March, thanks in large part to a government loan aimed at tiding over small firms during the worst of the coronavirus crisis."
EU's Vestager vows to continue tax fight after Apple setback,Jul 15 2020,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
Indonesia readying measures to stabilize financial markets - finance minister,Mar 09 2020,Indonesia Finance Minister Sri Mulyani Indrawati said on Tuesday that authorities are prepared to use all measures they implemented during the 2008 global financial crisis to stabilize financial markets.
"Detroit's near future based on SUVs, not EVs, production plans show",Mar 26 2020,"General Motors Co  and Ford Motor Co  have widely touted their commitment to emission-free electric cars, but their production plans show a growing reliance on ever-larger gas-powered vehicles."
"T-Mobile, Sprint lobby regulators to win U.S. approval for tie-up",Apr 22 2019,"Senior executives at T-Mobile US Inc and Sprint Corp made the case to U.S. officials in Washington last week that they should approve a planned tie-up between the two wireless companies, arguing a combined firm would have incentives to ""aggressively lower prices."""
"Express Scripts covers Amgen, Lilly migraine drugs, excludes Teva",Oct 17 2018,"Express Scripts Holding Co, one of the largest U.S. prescription benefits managers, will cover new migraine drugs from Eli Lilly and Amgen Inc, but exclude a rival medication from Teva Pharmaceutical Industries Ltd after price negotiations with all three manufacturers."
Former United Auto Workers official gets 15 months in labor corruption case,Aug 05 2019,"A federal judge in Detroit on Monday sentenced the former United Auto Workers union vice president in charge of relations with Fiat Chrysler to 15 months in federal prison for misusing funds intended for worker training to pay for luxury travel, golf, liquor and parties for himself and other union officials."
Exclusive: Biofuels company proposes to buy fire-damaged Philadelphia refinery,Aug 22 2019,A biofuels producer said on Thursday it is proposing to acquire the fire-damaged Philadelphia Energy Solutions refinery and convert it to make renewable diesel and jet fuels.
EU justice chief says will boost data transfers tool after court setback,Jul 16 2020,"The European Commission will closely study a top EU court ruling striking down an EU-U.S. data transfer pact and consider how to boost such transfers with its U.S. counterpart, EU Justice Chief Didier Reynders said on Thursday."
Factbox: Tariff wars - duties imposed by Trump and U.S. trading partners,Jan 29 2019,"U.S. President Donald Trump has rattled the world trade order by imposing unilateral tariffs to combat what he calls unfair trade practices by China, the European Union and other major trading partners of the United States."
Lyft's stock slide casts long shadow on Uber's IPO,Apr 11 2019,Uber Technologies Inc may face a cooler reception from investors than expected when it prices its initial public offering next month since smaller U.S. ride-hailing rival Lyft Inc's aggressive stock launch and subsequent fall.
Bayer set to close Monsanto takeover on Thursday: report,Jun 03 2018,"Bayer's planned $62.5 billion takeover of seeds maker Monsanto is set to close on Thursday, Germany's Frankfurter Allgemeine Sonntags Zeitung reported."
"Saudi Aramco aims to buy Reliance stake, reports lower earnings",Aug 12 2019,"Saudi Aramco is planning a multibillion dollar investment in India's Reliance Industries  as the energy giant diversifies its oil business, where weaker prices cut its first-half profit by 12%."
IEA sees global oil supply tightening more quickly in 2019,Dec 13 2018,"The global oil market could move into deficit sooner than expected thanks to OPEC's output agreement with Russia and to Canada's decision to cut supply, the International Energy Agency said on Thursday."
Airlines appear to come up short in bid to win cash grants in rescue package,Mar 21 2020,"A last-ditch effort by the chief executives of major U.S. airlines to try to win cash grants to weather the coronavirus crisis looked to be unsuccessful, four congressional aides and airline officials said late Saturday."
Oil up 1 percent as market focuses on supply risks,Apr 16 2019,"Oil prices rose 1 percent on Tuesday, as fighting in Libya and falling Venezuelan and Iranian exports raised concerns over tightening global supply, but uncertainty surrounding an OPEC-led production cut limited gains."
Daimler: Mercedes sells more than 600 Maybach models a month in China,Apr 16 2019,"Daimler's China chief said sales rose 3 percent in the first quarter, defying an overall downturn in demand in the world's biggest car market, thanks to robust demand for ultra luxury vehicles like the Mercedes S-Class Maybach."
"China to push medical factories to resume, expand production",Feb 04 2020,"The Chinese government will push medical products factories to resume or expand production, state television said on Tuesday after a meeting chaired by Premier Li Keqiang on the coronavirus outbreak."
Mexico will seek deal with Canada if NAFTA talks fail: Lopez Obrador,Sep 21 2018,"Mexico's incoming government will pursue a bilateral deal with Canada if talks to overhaul the North American Free Trade Agreement falter, Mexican president-elect Andres Manuel Lopez Obrador said on Friday."
The half a trillion dollar British money transfusion that may not be enough,Apr 21 2020,It took Lucio and Meera Santoro 35 years to build up their London design company and just a week to watch it fall apart.
Sweet seats and candy canes: Inside Fiat Chrysler's Toledo turnaround,Apr 08 2019,"Lots of workplaces have a hot seat. At the Jeep assembly plant in Toledo, Ohio, there is a ""sweet seat."""
Police search offices of Deutsche Bank board members,Nov 30 2018,"Police have searched the offices of all the members of Deutsche Bank's  board as part of an investigation into money laundering allegations linked to the Panama Papers, a source told Reuters on Friday."
U.S. weekly jobless claims blow past six million as coronavirus lockdowns spread,Apr 02 2020,"The number of Americans filing claims for unemployment benefits shot to a record high of more than 6 million last week as more jurisdictions enforced stay-at-home measures to curb the coronavirus pandemic, which economists say has pushed the economy into recession."
Airbus A380: from European dream to white elephant,Feb 14 2019,"Loved by passengers, feared by accountants, the world's largest airliner has run out of runway after Airbus decided to close A380 production after 12 years in service due to weak sales."
"Campbell, Third Point battle heats up, no concessions on the table",Oct 18 2018,Activist investor Daniel Loeb and Campbell Soup Co  hardened their positions in the battle over the soup maker's future on Thursday as the hedge fund manager tried to woo retail shareholders and the company's interim chief executive told Reuters that Loeb had left no room for compromise.
Shell open to carmaker partners in EV charging expansion,Feb 01 2019,"Shell is open to partnerships with carmakers to expand electric vehicle (EV) charging beyond its petrol stations, one of the oil major's executives said on Friday."
Walmart faces major India test over unit Flipkart's legal spat with startup,Jun 04 2019,"An Indian startup's legal challenge against a Walmart unit claiming losses caused by sharp discounting of its products is winning support from other online sellers, in what is shaping as a key test of how the giant retailer operates in the country."
Dow posts biggest one-day drop since October as recession fears take hold,Aug 14 2019,Wall Street sold off sharply on Wednesday as recession fears gripped the market after the U.S. Treasury yield curve temporarily inverted for the first time in 12 years.
"Amazon's gloomy holiday forecast misses estimates, shares fall 7%",Oct 24 2019,"Amazon.com Inc on Thursday forecast revenue and profit for the holiday quarter below expectations, as it faces fierce competition and rising costs from its plan to speed up delivery times globally."
German cartel office to take Facebook case to High Court,Aug 26 2019,"The German cartel office will appeal a regional court's decision to suspend restrictions it had imposed on Facebook's   data collection practices to the Federal Court of Justice, Germany's highest court."
Tesla begins sales of cheapest yet Model 3 car variant in China,Apr 12 2019,"U.S. electric vehicle (EV) maker Tesla Inc on Friday said it has started taking orders in China for a lower-priced version of its Model 3 car, as it seeks to expand its lineup and boost sales in the world's biggest EV market."
White House adviser says China-U.S. trade deal still possible,Nov 27 2018,White House economic adviser Larry Kudlow said on Tuesday that U.S. President Donald Trump will have a dinner meeting with Chinese President Xi Jinping at the upcoming G20 gathering in Argentina and also held open the possibility that the two countries would reach a trade deal.
"Exxon, New York prosecutors face off in climate change fraud trial",Oct 23 2019,"A lawyer for New York's attorney general on Tuesday told a state judge Exxon Mobil Corp  used two sets of books to hide the true cost of climate change regulations from investors, while an attorney for the oil major assailed the claims as false and politically motivated."
"Germany says EU should revise, delay digital tax plan",Nov 06 2018,Germany's Finance Minister Olaf Scholz said on Tuesday the European Commission should revise its plan for a EU-wide tax on large digital companies and stressed the new levy should be applied only if there is no global deal by the summer of 2020.
Higher dose of Gilead-Galapagos drug meets ulcerative colitis study goals,May 20 2020,Gilead Sciences Inc  and partner Galapagos NV  said on Wednesday only a higher dose of their experimental drug filgotinib showed greater effectiveness than placebo in a pivotal study testing it in ulcerative colitis patients.
What you need to know about the coronavirus right now,Mar 26 2020,Here's what you need to know about the coronavirus right now:
"'W-shaped' recovery may be too optimistic, Fed's Powell suggests",May 01 2020,"Federal Reserve Chair Jerome Powell has sketched out an altogether bumpier ride for the U.S. economy than many are predicting - one that sees business activity stop and start for months to come, until an effective treatment or vaccine for the novel coronavirus can be found."
"Uber to focus on core rides, delivery business as it cuts 23% of workforce",May 18 2020,"Uber Technologies Inc  will concentrate on its core businesses in ride-hailing and food delivery and cut 23% of its workforce in an attempt to become profitable despite the coronavirus pandemic, Chief Executive Officer Dara Khosrowshahi said in an email to employees on Monday."
Many verified Twitter accounts able to post again after hacking,Jul 16 2020,"Twitter  users with verified accounts started to be able to send tweets again at around 8:30 pm EDT, after the company had silenced some of its highest-profile users in response to an hours-long security incident."
U.S. Fed revives commercial paper facility to boost lending,Mar 17 2020,The U.S. Federal Reserve said on Tuesday it would reinstate a funding facility used during the 2008 financial crisis to get credit directly to businesses and households as fears over a liquidity crunch due to the coronavirus have grown in recent days.
Insurer Anthem profit beats estimates on lower patient costs,Jul 25 2018,"Anthem Inc  reported a better-than-expected profit on Wednesday, driven by higher premiums and lower patient medical costs even as fewer people enrolled in its insurance plans."
"City Council aims to make New York first U.S. city to cap Uber, others",Jul 27 2018,"New York City is moving toward becoming the first major U.S. municipality to cap ride-sharing services, sparking a tsunami of protest on Friday from Uber [UBER.UL] and others, which warned that those living in far-flung neighborhoods will suffer most."
New U.S. threat of sanctions are bad for global economy - Le Maire,Dec 03 2019,"New tariff threats by the United States on certain French products are bad for the global economy, and France is counting upon the solidarity of its European partners as it looks to challenge the move, the French finance minister said."
"U.S. says tool chests from China, Vietnam are being dumped in U.S. market",Apr 05 2018,"The U.S. Commerce Department said on Thursday it had determined that tool chests and cabinets made in China and Vietnam were being dumped in the U.S. market, and announced prospective import duties on the products ranging up to 327 percent."
Take Five: World stocks' 2020 rollercoaster ride rumbles on,Jun 26 2020,"World stocks have been on a rollercoaster ride in the first half of 2020. Having slumped 35% from Feb. 20 to March 23, they are now within 10% of February's record highs thanks to lashings of fiscal stimulus, interest rates slashed to 0% or below in most major economies, and massive amounts of QE. Borrowing costs for high-grade U.S. companies have in fact fallen below January levels."
Sri Lanka imposes curfew as South Asia steps up coronavirus battle,Mar 20 2020,Sri Lanka imposed a nationwide weekend curfew on Friday as South Asian countries escalated efforts to check the spread of coronavirus across the densely populated region of 1.9 billion people.
White House handling of U.S.-Japan trade deal angers Democrats,Nov 20 2019,"House Democrats on Wednesday blasted the Trump administration for not consulting sufficiently with Congress while negotiating a mini trade deal with Japan, failing to provide details about it and refusing to testify at a congressional hearing."
Walmart may launch IPO for Flipkart in as early as four years,May 12 2018,"Walmart Inc  said on Saturday in a filing with a U.S. regulator that it may take India's Flipkart public in as early as four years, detailing for the first time a potential listing timeline for Walmart's largest-ever acquisition."
USTR Lighthizer denies he said China tariffs on hold,Nov 15 2018,"U.S. Trade Representative Robert Lighthizer did not tell business executives that another round of tariffs on Chinese imports is on hold, a USTR spokesperson said on Thursday, denying a report in the Financial Times."
Citgo Petroleum to dismiss workers in Aruba over U.S. sanctions: prime minister,Feb 15 2019,"A Citgo Petroleum Corp refining unit in Aruba plans to dismiss workers following sanctions imposed by the United States on Venezuela's state-run PDVSA, the parent company of the U.S. refining firm, the island's prime minister said on Friday."
Barclays activist Bramson renews call to join the board,Apr 15 2019,"Activist Edward Bramson on Monday made a renewed plea for Barclays' investors to give him a seat on the bank's board, as the war of words between his Sherborne Investors fund and the lender's management ratchets up."
Korean Air chairman steps down as CEO of budget affiliate Jin Air,May 10 2018,"Korean Air Lines  Chairman Cho Yang-ho has stepped down from his post of co-chief executive at budget affiliate Jin Air , amid growing pressure on the members of the airline giant's controlling family to stay away from management."
Carmaker Bentley to suspend production for four weeks over coronavirus,Mar 19 2020,"Bentley will stop car production at its British factory from the end of Friday for four weeks over the coronavirus outbreak, one of the final automakers in Britain to announce such plans."
Exclusive: Nissan expands Ghosn probe to include Renault alliance - sources,Nov 20 2018,"Nissan's investigation into alleged misconduct by Chairman Carlos Ghosn is expanding to include Renault-Nissan finances, sources told Reuters - in a further sign that Nissan may seek to loosen its French parent's hold on their global carmaking alliance."
Nvidia full-year sales outlook tops analyst views; shares rise,Feb 14 2019,"Chip maker Nvidia Corp on Thursday forecast sales for its current fiscal year that topped Wall Street expectations, sending its shares up 8 percent in late trading."
China central bank signals more policy measures to support virus-ravaged economy,May 10 2020,China's central bank said on Sunday it will step up counter-cyclical adjustments to support the economy and make monetary policy more flexible to fend off financial risks.
Air France-KLM loss gives first taste of coronavirus impact,May 07 2020,"Two weeks of coronavirus shutdown were enough to hit Air France-KLM  with an 815 million-euro ($880 million) first-quarter operating loss, the airline group said on Thursday - predicting demand could take ""several years"" to recover."
China to extend preferential taxes for integrated circuit firms,May 08 2019,"China will extend preferential taxes for producers of integrated circuits and software companies, the cabinet said on Wednesday."
Tesla rolls out insurance in California,Aug 28 2019,"Tesla Inc  said on Wednesday it was launching an insurance service designed to give drivers in California, its biggest market, lower rates because of safety features on its electric vehicles."
China's iron ore imports rise in July despite pollution curbs,Aug 08 2018,"China's iron ore imports rebounded in July, customs data showed on Wednesday, buoyed by record steel production and strong margins as official measures to cut pollution curb the output of cheaper products from small mills."
Wirecard debt that facilitated SoftBank investment put up for auction,Jul 02 2020,Convertible bonds that were part of a complex transaction that allowed Japan's SoftBank Group  to buy a stake in now-collapsed payments company Wirecard and then de-risk the transaction have been put up for sale in an auction.
"As Fed reiterates rate pause, forecasts likely to be blown off course",Dec 08 2019,"Friday's booming U.S. jobs report should give the Federal Reserve all it needs to stick to its plan not to cut interest rates further in the near future, so when U.S. central bankers meet this week, most of the focus will be on their outlook for next year and beyond."
Wall Street retreats from record on trade cloudiness,Oct 31 2019,U.S. stocks fell on Thursday as conflicting tones surrounding a possible trade deal between the United States and China eclipsed strong earnings reports from Apple and Facebook.
Internet users help Charter beat revenue estimates,Jan 31 2019,"Charter Communications Inc topped quarterly revenue  estimates on Thursday, as the cable operator attracted more customers for its internet services, offsetting a drop in video subscribers."
